keys,transactionSize,rangeSize,communities,rangeLocked,communityLocked
100000,10,10,10,70000,19906
100000,10,15,15,53328,13475
100000,10,20,20,40000,15003
100000,10,25,25,32000,8219
100000,10,30,30,26664,9945
100000,10,10,10,60000,10120
100000,10,15,15,53328,6802
100000,10,20,20,40000,10169
100000,10,25,25,32000,8049
100000,10,30,30,29997,3324
100000,10,10,10,60000,20064
100000,10,15,15,39996,6729
100000,10,20,20,30000,20063
100000,10,25,25,28000,12020
100000,10,30,30,26664,3345
100000,10,10,10,70000,9992
100000,10,15,15,53328,13231
100000,10,20,20,50000,9952
100000,10,25,25,36000,7901
100000,10,30,30,26664,6709
100000,10,10,10,60000,19890
100000,10,15,15,46662,13396
100000,10,20,20,35000,4982
100000,10,25,25,32000,11948
100000,10,30,30,33330,3391
100000,10,10,10,40000,10096
100000,10,15,15,53328,13350
100000,10,20,20,40000,4954
100000,10,25,25,36000,7937
100000,10,30,30,26664,6655
100000,10,10,10,50000,40004
100000,10,15,15,59994,13367
100000,10,20,20,50000,14993
100000,10,25,25,36000,7863
100000,10,30,30,29997,6764
100000,10,10,10,70000,20055
100000,10,15,15,53328,13069
100000,10,20,20,25000,5132
100000,10,25,25,40000,4069
100000,10,30,30,29997,6663
100000,10,10,10,60000,9966
100000,10,15,15,53328,20041
100000,10,20,20,45000,14898
100000,10,25,25,32000,3973
100000,10,30,30,23331,6656
100000,10,10,10,70000,20135
100000,10,15,15,53328,13202
100000,10,20,20,35000,10140
100000,10,25,25,28000,7970
100000,10,30,30,19998,3384
100000,10,10,10,60000,10092
100000,10,15,15,53328,6712
100000,10,20,20,35000,14874
100000,10,25,25,32000,12134
100000,10,30,30,29997,6746
100000,10,10,10,40000,19781
100000,10,15,15,53328,6865
100000,10,20,20,40000,5049
100000,10,25,25,28000,11953
100000,10,30,30,23331,9941
100000,10,10,10,70000,10059
100000,10,15,15,53328,6612
100000,10,20,20,40000,14908
100000,10,25,25,28000,3973
100000,10,30,30,29997,9981
100000,10,10,10,80000,9928
100000,10,15,15,59994,13205
100000,10,20,20,45000,15116
100000,10,25,25,36000,8007
100000,10,30,30,23331,9975
100000,10,10,10,60000,20058
100000,10,15,15,53328,6713
100000,10,20,20,45000,4939
100000,10,25,25,28000,11983
100000,10,30,30,23331,3277
100000,10,10,10,60000,29971
100000,10,15,15,39996,6561
100000,10,20,20,35000,14889
100000,10,25,25,32000,11958
100000,10,30,30,29997,3288
100000,10,10,10,50000,19948
100000,10,15,15,53328,13402
100000,10,20,20,40000,4929
100000,10,25,25,36000,12230
100000,10,30,30,26664,3383
100000,10,10,10,70000,39973
100000,10,15,15,46662,13301
100000,10,20,20,35000,9894
100000,10,25,25,28000,7907
100000,10,30,30,29997,6687
100000,10,10,10,60000,30123
100000,10,15,15,59994,13410
100000,10,20,20,40000,4964
100000,10,25,25,36000,4160
100000,10,30,30,33330,3191
100000,10,10,10,60000,19915
100000,10,15,15,59994,13384
100000,10,20,20,35000,19972
100000,10,25,25,32000,8092
100000,10,30,30,26664,6571
100000,10,10,10,60000,9878
100000,10,15,15,53328,20173
100000,10,20,20,40000,9990
100000,10,25,25,28000,8056
100000,10,30,30,29997,13415
100000,10,10,10,60000,30079
100000,10,15,15,59994,33346
100000,10,20,20,30000,15066
100000,10,25,25,40000,8104
100000,10,30,30,29997,6610
100000,10,10,10,70000,19890
100000,10,15,15,46662,13386
100000,10,20,20,40000,9984
100000,10,25,25,24000,7926
100000,10,30,30,23331,3263
100000,10,10,10,70000,10071
100000,10,15,15,46662,19945
100000,10,20,20,35000,9833
100000,10,25,25,32000,12014
100000,10,30,30,29997,13350
100000,10,10,10,60000,20026
100000,10,15,15,46662,33305
100000,10,20,20,40000,15107
100000,10,25,25,40000,3897
100000,10,30,30,29997,6566
100000,10,10,10,60000,9977
100000,10,15,15,59994,20166
100000,10,20,20,50000,15051
100000,10,25,25,32000,4073
100000,10,30,30,29997,6798
100000,10,10,10,40000,10024
100000,10,15,15,59994,13548
100000,10,20,20,45000,15018
100000,10,25,25,36000,11941
100000,10,30,30,26664,19899
100000,10,10,10,60000,30057
100000,10,15,15,66660,6734
100000,10,20,20,40000,14884
100000,10,25,25,32000,7972
100000,10,30,30,29997,10130
100000,10,10,10,60000,10089
100000,10,15,15,53328,13318
100000,10,20,20,40000,5052
100000,10,25,25,32000,8007
100000,10,30,30,29997,6744
100000,10,10,10,50000,19979
100000,10,15,15,39996,6766
100000,10,20,20,35000,9999
100000,10,25,25,32000,7969
100000,10,30,30,29997,6669
100000,10,10,10,70000,10119
100000,10,15,15,39996,13244
100000,10,20,20,45000,19827
100000,10,25,25,24000,4007
100000,10,30,30,26664,6659
100000,10,10,10,50000,10068
100000,10,15,15,59994,20005
100000,10,20,20,40000,9996
100000,10,25,25,28000,7930
100000,10,30,30,26664,3349
100000,10,10,10,60000,19871
100000,10,15,15,53328,19888
100000,10,20,20,45000,5054
100000,10,25,25,36000,16117
100000,10,30,30,33330,16627
100000,10,10,10,70000,30155
100000,10,15,15,46662,20143
100000,10,20,20,40000,10073
100000,10,25,25,32000,11919
100000,10,30,30,29997,6740
100000,10,10,10,60000,30061
100000,10,15,15,39996,6589
100000,10,20,20,25000,14966
100000,10,25,25,36000,11995
100000,10,30,30,26664,3362
100000,10,10,10,60000,20058
100000,10,15,15,53328,6726
100000,10,20,20,40000,9860
100000,10,25,25,36000,7999
100000,10,30,30,26664,6748
100000,10,10,10,70000,10164
100000,10,15,15,53328,26512
100000,10,20,20,45000,5051
100000,10,25,25,32000,8081
100000,10,30,30,29997,3322
100000,10,10,10,70000,19718
100000,10,15,15,53328,13356
100000,10,20,20,40000,10005
100000,10,25,25,36000,12049
100000,10,30,30,26664,10054
100000,10,10,10,50000,10003
100000,10,15,15,39996,13178
100000,10,20,20,45000,10089
100000,10,25,25,28000,11943
100000,10,30,30,23331,3319
100000,10,10,10,60000,20078
100000,10,15,15,53328,20062
100000,10,20,20,45000,14894
100000,10,25,25,40000,12043
100000,10,30,30,29997,6607
100000,10,10,10,70000,10069
100000,10,15,15,46662,13330
100000,10,20,20,45000,9958
100000,10,25,25,28000,3982
100000,10,30,30,33330,3259
100000,10,10,10,70000,19858
100000,10,15,15,39996,26721
100000,10,20,20,40000,10050
100000,10,25,25,32000,8019
100000,10,30,30,33330,10028
100000,10,10,10,70000,39860
100000,10,15,15,59994,13409
100000,10,20,20,45000,15082
100000,10,25,25,32000,11827
100000,10,30,30,26664,10145
100000,10,10,10,60000,20173
100000,10,15,15,46662,6760
100000,10,20,20,45000,9794
100000,10,25,25,28000,8093
100000,10,30,30,26664,3424
100000,10,10,10,80000,19960
100000,10,15,15,46662,6712
100000,10,20,20,45000,14840
100000,10,25,25,32000,7792
100000,10,30,30,26664,13297
100000,10,10,10,70000,19979
100000,10,15,15,46662,13481
100000,10,20,20,35000,14999
100000,10,25,25,36000,12168
100000,10,30,30,29997,6785
100000,10,10,10,50000,29842
100000,10,15,15,46662,6598
100000,10,20,20,35000,9897
100000,10,25,25,32000,7986
100000,10,30,30,23331,6751
100000,10,10,10,60000,19941
100000,10,15,15,46662,13291
100000,10,20,20,40000,15026
100000,10,25,25,28000,4073
100000,10,30,30,23331,9992
100000,10,10,10,80000,9977
100000,10,15,15,46662,13300
100000,10,20,20,40000,14939
100000,10,25,25,28000,8035
100000,10,30,30,26664,13420
100000,10,10,10,40000,29916
100000,10,15,15,53328,13602
100000,10,20,20,35000,10138
100000,10,25,25,36000,12039
100000,10,30,30,29997,6616
100000,10,10,10,70000,30267
100000,10,15,15,53328,19862
100000,10,20,20,40000,5000
100000,10,25,25,28000,4001
100000,10,30,30,23331,6710
100000,10,10,10,70000,10082
100000,10,15,15,53328,13206
100000,10,20,20,45000,9944
100000,10,25,25,32000,12206
100000,10,30,30,29997,9942
100000,10,10,10,60000,20003
100000,10,15,15,46662,19913
100000,10,20,20,45000,9980
100000,10,25,25,32000,7945
100000,10,30,30,29997,13460
100000,10,10,10,70000,9987
100000,10,15,15,53328,6655
100000,10,20,20,40000,15042
100000,10,25,25,32000,8084
100000,10,30,30,23331,6615
100000,10,10,10,70000,20016
100000,10,15,15,46662,6506
100000,10,20,20,40000,20087
100000,10,25,25,28000,4051
100000,10,30,30,29997,3299
100000,10,10,10,80000,30129
100000,10,15,15,33330,20097
100000,10,20,20,40000,19857
100000,10,25,25,36000,3935
100000,10,30,30,29997,6793
100000,10,10,10,50000,30120
100000,10,15,15,39996,26505
100000,10,20,20,45000,5095
100000,10,25,25,40000,7910
100000,10,30,30,26664,9911
100000,10,10,10,80000,30050
100000,10,15,15,59994,13459
100000,10,20,20,45000,9926
100000,10,25,25,36000,3992
100000,10,30,30,26664,3225
100000,10,10,10,70000,29863
100000,10,15,15,59994,6651
100000,10,20,20,35000,9883
100000,10,25,25,36000,12013
100000,10,30,30,19998,10059
100000,10,10,10,50000,20062
100000,10,15,15,39996,19867
100000,10,20,20,30000,4932
100000,10,25,25,28000,7862
100000,10,30,30,26664,3438
100000,10,10,10,50000,9959
100000,10,15,15,53328,20166
100000,10,20,20,40000,5078
100000,10,25,25,36000,11867
100000,10,30,30,29997,3345
100000,10,10,10,80000,10028
100000,10,15,15,59994,13319
100000,10,20,20,35000,4906
100000,10,25,25,32000,4028
100000,10,30,30,26664,13209
100000,10,10,10,60000,19670
100000,10,15,15,53328,13346
100000,10,20,20,50000,19969
100000,10,25,25,36000,8061
100000,10,30,30,33330,6731
100000,10,10,10,70000,9841
100000,10,15,15,59994,20063
100000,10,20,20,40000,15149
100000,10,25,25,32000,7967
100000,10,30,30,29997,13232
100000,10,10,10,70000,39951
100000,10,15,15,53328,26614
100000,10,20,20,35000,15029
100000,10,25,25,36000,7898
100000,10,30,30,33330,6724
100000,10,10,10,70000,10038
100000,10,15,15,46662,33127
100000,10,20,20,40000,10037
100000,10,25,25,32000,7999
100000,10,30,30,26664,16733
100000,10,10,10,60000,20004
100000,10,15,15,46662,13267
100000,10,20,20,45000,9864
100000,10,25,25,32000,4021
100000,10,30,30,33330,3263
100000,10,10,10,70000,20167
100000,10,15,15,39996,13426
100000,10,20,20,40000,10357
100000,10,25,25,32000,11990
100000,10,30,30,29997,16749
100000,10,10,10,70000,9854
100000,10,15,15,46662,6741
100000,10,20,20,45000,15220
100000,10,25,25,36000,7930
100000,10,30,30,29997,3230
100000,10,10,10,70000,30185
100000,10,15,15,53328,20132
100000,10,20,20,35000,15060
100000,10,25,25,32000,16084
100000,10,30,30,23331,6684
100000,10,10,10,70000,20006
100000,10,15,15,46662,20037
100000,10,20,20,35000,4914
100000,10,25,25,36000,7910
100000,10,30,30,26664,16709
100000,10,10,10,70000,39757
100000,10,15,15,59994,20170
100000,10,20,20,40000,15142
100000,10,25,25,36000,16015
100000,10,30,30,33330,6636
100000,10,10,10,50000,20057
100000,10,15,15,46662,26543
100000,10,20,20,45000,14877
100000,10,25,25,40000,11955
100000,10,30,30,29997,6663
100000,10,10,10,70000,30053
100000,10,15,15,46662,6683
100000,10,20,20,40000,14758
100000,10,25,25,40000,8105
100000,10,30,30,29997,10041
100000,10,10,10,60000,9989
100000,10,15,15,59994,13371
100000,10,20,20,45000,19976
100000,10,25,25,36000,3999
100000,10,30,30,29997,10022
100000,10,10,10,80000,49897
100000,10,15,15,46662,19829
100000,10,20,20,35000,5019
100000,10,25,25,36000,12108
100000,10,30,30,33330,3326
100000,10,10,10,70000,29981
100000,10,15,15,53328,26599
100000,10,20,20,45000,10006
100000,10,25,25,32000,16049
100000,10,30,30,29997,9864
100000,10,10,10,70000,29900
100000,10,15,15,46662,20128
100000,10,20,20,40000,10011
100000,10,25,25,32000,12046
100000,10,30,30,26664,6576
100000,10,10,10,80000,19800
100000,10,15,15,39996,6744
100000,10,20,20,45000,5088
100000,10,25,25,40000,7993
100000,10,30,30,29997,9873
100000,10,10,10,80000,9938
100000,10,15,15,59994,6786
100000,10,20,20,35000,15036
100000,10,25,25,28000,8058
100000,10,30,30,33330,6665
100000,10,10,10,70000,39941
100000,10,15,15,46662,6764
100000,10,20,20,40000,10144
100000,10,25,25,32000,11981
100000,10,30,30,33330,3368
100000,10,10,10,60000,19962
100000,10,15,15,53328,20024
100000,10,20,20,40000,5149
100000,10,25,25,32000,4090
100000,10,30,30,26674,10173
100000,10,10,10,60000,10157
100000,10,15,15,46662,20007
100000,10,20,20,50000,10182
100000,10,25,25,40000,8056
100000,10,30,30,19998,3308
100000,10,10,10,70000,20062
100000,10,15,15,39996,6617
100000,10,20,20,40000,9970
100000,10,25,25,36000,8071
100000,10,30,30,29997,3200
100000,10,10,10,70000,39981
100000,10,15,15,46662,19946
100000,10,20,20,25000,10155
100000,10,25,25,36000,3939
100000,10,30,30,23331,3221
100000,10,10,10,60000,19871
100000,10,15,15,46662,6732
100000,10,20,20,40000,10066
100000,10,25,25,32000,8055
100000,10,30,30,29997,6691
100000,10,10,10,80000,29921
100000,10,15,15,46662,6491
100000,10,20,20,45000,9897
100000,10,25,25,40000,3911
100000,10,30,30,33330,6811
100000,10,10,10,60000,19798
100000,10,15,15,59994,20009
100000,10,20,20,30000,5002
100000,10,25,25,32000,8149
100000,10,30,30,26664,9923
100000,10,10,10,70000,10053
100000,10,15,15,46662,6674
100000,10,20,20,40000,9948
100000,10,25,25,36000,7920
100000,10,30,30,26664,3436
100000,10,10,10,80000,29814
100000,10,15,15,46662,6661
100000,10,20,20,40000,15106
100000,10,25,25,32000,11845
100000,10,30,30,29997,9782
100000,10,10,10,70000,40182
100000,10,15,15,53328,6729
100000,10,20,20,40000,4939
100000,10,25,25,36000,3957
100000,10,30,30,26664,3342
100000,10,10,10,90000,39702
100000,10,15,15,66660,6546
100000,10,20,20,40000,10074
100000,10,25,25,36000,7971
100000,10,30,30,29997,3294
100000,10,10,10,60000,20167
100000,10,15,15,46662,13301
100000,10,20,20,35000,14949
100000,10,25,25,40000,4116
100000,10,30,30,29997,6820
100000,10,10,10,60000,9931
100000,10,15,15,59994,6591
100000,10,20,20,45000,14973
100000,10,25,25,32000,7851
100000,10,30,30,29997,16760
100000,10,10,10,70000,10003
100000,10,15,15,53328,6794
100000,10,20,20,40000,10049
100000,10,25,25,40000,8068
100000,10,30,30,26664,3283
100000,10,10,10,60000,19882
100000,10,15,15,53328,6774
100000,10,20,20,30000,20022
100000,10,25,25,40000,12098
100000,10,30,30,26664,13137
100000,10,10,10,70000,20056
100000,10,15,15,53328,6710
100000,10,20,20,45000,5011
100000,10,25,25,36000,8031
100000,10,30,30,26664,3323
100000,10,10,10,80000,19963
100000,10,15,15,53328,26585
100000,10,20,20,40000,14863
100000,10,25,25,32000,4009
100000,10,30,30,29997,13323
100000,10,10,10,80000,30019
100000,10,15,15,59994,26623
100000,10,20,20,45000,5107
100000,10,25,25,28000,8014
100000,10,30,30,26664,6631
100000,10,10,10,80000,10033
100000,10,15,15,59994,19948
100000,10,20,20,45000,4921
100000,10,25,25,36000,12015
100000,10,30,30,26664,10086
100000,10,10,10,50000,10101
100000,10,15,15,39996,20026
100000,10,20,20,50000,4859
100000,10,25,25,32000,7976
100000,10,30,30,29997,16504
100000,10,10,10,70000,20173
100000,10,15,15,53328,20016
100000,10,20,20,40000,4993
100000,10,25,25,36000,11964
100000,10,30,30,29997,6696
100000,10,10,10,70000,20067
100000,10,15,15,46662,13119
100000,10,20,20,40000,5032
100000,10,25,25,36000,4003
100000,10,30,30,33330,6653
100000,10,10,10,50000,9966
100000,10,15,15,59994,19982
100000,10,20,20,40000,19944
100000,10,25,25,36000,12066
100000,10,30,30,26664,9913
100000,10,10,10,70000,19708
100000,10,15,15,39996,6789
100000,10,20,20,35000,10013
100000,10,25,25,28000,16064
100000,10,30,30,23331,6481
100000,10,10,10,60000,29998
100000,10,15,15,53328,13380
100000,10,20,20,45000,4892
100000,10,25,25,32000,16070
100000,10,30,30,33330,9988
100000,10,10,10,40000,20048
100000,10,15,15,53328,20137
100000,10,20,20,50000,14992
100000,10,25,25,36000,7976
100000,10,30,30,19998,6583
100000,10,10,10,50000,49793
100000,10,15,15,66660,13496
100000,10,20,20,35000,4963
100000,10,25,25,32000,4031
100000,10,30,30,26664,13087
100000,10,10,10,70000,19980
100000,10,15,15,39996,13089
100000,10,20,20,35000,15108
100000,10,25,25,28000,15778
100000,10,30,30,23331,3377
100000,10,10,10,70000,10063
100000,10,15,15,53328,6667
100000,10,20,20,35000,4944
100000,10,25,25,28000,7894
100000,10,30,30,26664,6604
100000,10,10,10,70000,30012
100000,10,15,15,53328,19871
100000,10,20,20,40000,5055
100000,10,25,25,40000,8049
100000,10,30,30,26664,6736
100000,10,10,10,60000,9906
100000,10,15,15,46662,6663
100000,10,20,20,45000,14832
100000,10,25,25,36000,19923
100000,10,30,30,33330,9957
100000,10,10,10,60000,20106
100000,10,15,15,53328,20120
100000,10,20,20,30000,15087
100000,10,25,25,36000,4022
100000,10,30,30,23331,10126
100000,10,10,10,80000,19825
100000,10,15,15,39996,13259
100000,10,20,20,50000,4985
100000,10,25,25,36000,12119
